Idiom	Context	Meaning	Explanation	Language
keep one's eyes peeled	They should be arriving any minute, so keep your eyes open.	remain vigilant or carefully watchful for something or someone.   	permanecer alerta o atento a algo o alguien.	Spanish
keep one's eyes peeled	They should be arriving any minute, so keep your eyes open.	remain vigilant or carefully watchful for something or someone.   	wachsam bleiben oder sorgfältig auf etwas oder jemanden achten.	German
go dutch	You don't have to treat me to dinner—let's go Dutch.	divide a check or bill so that each person contributes to it. 	dividir un cheque o factura para que cada persona contribuya.	Spanish
go dutch	You don't have to treat me to dinner—let's go Dutch.	divide a check or bill so that each person contributes to it. 	Teilen Sie einen Scheck oder eine Rechnung so auf, dass jede Person einen Beitrag dazu leistet.	German
basket case	After that all-day meeting, I was practically a basket case.	a person who is a nervous wreck. Formerly referred to a person who is physically disabled in all four limbs because of paralysis or amputation.  	una persona que es un manojo de nervios. Antiguamente se refería a una persona que queda físicamente discapacitada en las cuatro extremidades a causa de parálisis o amputación.	Spanish
basket case	After that all-day meeting, I was practically a basket case.	a person who is a nervous wreck. Formerly referred to a person who is physically disabled in all four limbs because of paralysis or amputation.  	eine Person, die ein nervöses Wrack ist. Früher bezeichnete man eine Person, die aufgrund einer Lähmung oder Amputation an allen vier Gliedmaßen körperlich behindert ist.	German
easy on the ear	I find classical music to be very easy on the ear.	Having a pleasant and enjoyable sound.  	Tener un sonido agradable y placentero.	Spanish
easy on the ear	I find classical music to be very easy on the ear.	Having a pleasant and enjoyable sound.  	Einen angenehmen und angenehmen Klang haben.	German
white elephant	Bob's father-in-law has given him an old Rolls Royce, but it's a real white elephant. He has no place to park it and can't afford the gas for it. Those antique vases Aunt Mary gave me are white elephants. They're ugly and I have no place to put them.	something that is large and unwieldy and is either a nuisance or expensive to keep up. 	algo que es grande y difícil de manejar y que resulta molesto o costoso de mantener.	Spanish
white elephant	Bob's father-in-law has given him an old Rolls Royce, but it's a real white elephant. He has no place to park it and can't afford the gas for it. Those antique vases Aunt Mary gave me are white elephants. They're ugly and I have no place to put them.	something that is large and unwieldy and is either a nuisance or expensive to keep up. 	etwas, das groß und unhandlich ist und entweder lästig oder teuer in der Wartung ist.	German
bring to the table	He brings years of leadership experience to the table.	provide or offer a useful skill or attribute. 	proporcionar u ofrecer una habilidad o atributo útil.	Spanish
bring to the table	He brings years of leadership experience to the table.	provide or offer a useful skill or attribute. 	eine nützliche Fähigkeit oder Eigenschaft bereitstellen oder anbieten.	German
throw in the towel	I've been working on this book for over a year, and I'm getting nowhere with it. I think I'm ready to throw in the towel.	give up on some endeavor; to quit or abandon something; to admit defeat or failure.  	renunciar a algún esfuerzo; dejar o abandonar algo; admitir la derrota o el fracaso.	Spanish
throw in the towel	I've been working on this book for over a year, and I'm getting nowhere with it. I think I'm ready to throw in the towel.	give up on some endeavor; to quit or abandon something; to admit defeat or failure.  	ein Unterfangen aufgeben; etwas aufgeben oder aufgeben; eine Niederlage oder ein Scheitern eingestehen.	German
war of words	The union boss got into a war of words with management over the unfair treatment of the workers.	A lengthy argument characterized by verbal exchanges. 	Una larga discusión caracterizada por intercambios verbales.	Spanish
war of words	The union boss got into a war of words with management over the unfair treatment of the workers.	A lengthy argument characterized by verbal exchanges. 	Ein langwieriger Streit, der von verbalen Auseinandersetzungen geprägt ist.	German
burn one's fingers	During the boom times, countless would-be investors put everything they owned into shady investment deals, and most of them ended up burning their fingers badly.	suffer an unpleasant or ruinous consequence especially the loss of money for some action, often such that one becomes unwilling or reluctant to do it again. 	sufrir una consecuencia desagradable o ruinosa, especialmente la pérdida de dinero por alguna acción, a menudo tal que uno no quiere o se muestra reacio a volver a realizarla.	Spanish
burn one's fingers	During the boom times, countless would-be investors put everything they owned into shady investment deals, and most of them ended up burning their fingers badly.	suffer an unpleasant or ruinous consequence especially the loss of money for some action, often such that one becomes unwilling or reluctant to do it again. 	eine unangenehme oder ruinöse Konsequenz erleiden, insbesondere den Verlust von Geld für eine Aktion, oft so sehr, dass man nicht mehr bereit oder ungern ist, sie noch einmal zu tun.	German
bank on	I've really been banking on a holiday bonus this year—I don't have enough money to buy presents without it.	rely on a future occurrence even though it might not happen.  	confiar en un suceso futuro aunque no suceda.	Spanish
bank on	I've really been banking on a holiday bonus this year—I don't have enough money to buy presents without it.	rely on a future occurrence even though it might not happen.  	Verlassen Sie sich auf ein zukünftiges Ereignis, auch wenn es möglicherweise nicht eintritt.	German
keep at bay	During my college years, the only things I had to keep hunger at bay were beans, rice, and plain pasta.	keep someone or something at a distance or from reaching full potency, especially in order to prevent harm to oneself.   	Mantener a alguien o algo a distancia o de alcanzar su plena potencia, especialmente para evitar daños a uno mismo.	Spanish
keep at bay	During my college years, the only things I had to keep hunger at bay were beans, rice, and plain pasta.	keep someone or something at a distance or from reaching full potency, especially in order to prevent harm to oneself.   	Halten Sie jemanden oder etwas auf Distanz oder verhindern Sie, dass Sie die volle Potenz erreichen, insbesondere um sich selbst Schaden zuzufügen.	German
save face	I tried to offer an explanation that incorporated elements of what he'd said as a means of saving his face after such an awkward presentation.	try to regain favorable standing after something embarrassing has happened; to give or afford someone an opportunity to avoid embarrassment, humiliation, or shame.  	tratar de recuperar una posición favorable después de que haya sucedido algo embarazoso; Dar o permitir a alguien la oportunidad de evitar la vergüenza, la humillación o la vergüenza.	Spanish
